Timestamp,Employment Type,Company Name,Company Size - # Employees,Primary Location (Country),Primary Location (City),Industry in Company,Public or Private Company,Years Experience in Industry,Years of Experience in Current Company  ,Job Title In Company,Job Ladder,Job Level,Required Hours Per Week,Actual Hours Per Week,Highest Level of Formal Education Completed,Total Base Salary in 2018 (in USD),Total Bonus in 2018 (cumulative annual value in USD),Total Stock Options/Equity in 2018 (cumulative annual value in USD),Health Insurance Offered,Annual Vacation (in Weeks),Are you happy at your current position?,Do you plan to resign in the next 12 months?,What are your thoughts about the direction of your industry?,Gender,Final Question: What are the top skills (you define what that means) that you believe will be necessary for job growth in your industry over the next 10 years?,Have you ever done a bootcamp? If so was it worth it?
9/11/2019 1:01:46,Full-time,ISP,20-100,Australia (AU),Victoria,Internet Services,Private,5-10,0-2,NOC,Dev-Ops,3 (III),40+,40-50,Undergraduate Degree,51000,0,0,No,4,It's Complicated,Don't know,It's looking bleak.,Male,,
9/11/2019 1:01:49,Full-time,,20-100,United States (US),Bloomington,IT,Private,5-10,2-5,Escalations Engineer,Technical Support Engineer,3 (III),40+,40-50,High School,66750,1500,0,Yes,4,Yes,No,,Male,,
9/11/2019 1:02:23,Full-time,,"1,000-10,000",United States (US),Raleigh,General Engineering,Private,0-2,0-2,IT Support Analyst,Technical Support Engineer,1 (I),40+,40-50,Undergraduate Degree,51500,1500,,Yes,4,Yes,No,,Female,,
9/11/2019 1:02:35,Full-time,Blake,"10,000-100,000",United States (US),"San Antonio, TX",Finance,Private,10-20,2-5,Sr Systems Engineer,System Admin,,40+,40-50,High School,100000,12000,,Yes,4,Yes,No,,Male,,
9/11/2019 1:03:08,Full-time,Tata Consultancy Services,"100,000+",India (IN),Mumbai,IT,Private,0-2,0-2,Systems engineer,Technical Support Engineer,1 (I),40+,40-50,Graduate Degree,4800,200,0,Yes,3,No,Yes,,Male,,
9/11/2019 1:03:10,Full-time,Texas department of insurance ,"1,000-10,000",United States (US),Austin,Internet Services,Public,5-10,0-2,Network  specialist ,Newtork Admin,4 (IV),40+,40-50,Associate degree and military ,52000,0,0,Yes,4,Yes,Don't know,Getting way more complicated for entry level  positions,Male,,
9/11/2019 1:03:34,Full-time,CMD Solutions,20-100,Australia (AU),Sydney,Consulting,Private,2-5,0-2,Senior consultant ,Dev-Ops,,20-40,20-40,Graduate Degree,103000,0,0,N/A,4,Yes,No,,Male,,
9/11/2019 1:04:15,Full-time,,20-100,United States (US),,IT,Private,5-10,2-5,Senior Network Administrator ,Newtork Admin,,40+,40-50,Microsoft Certifications,48000,0,0,Yes,3,Yes,No,There's improvement and they are super supportive of me and my health as well as my success. ,Male,,
9/11/2019 1:04:36,Full-time,,"1,000-10,000",United States (US),,IT,Non-profit,10-20,0-2,Desktop Support,Technical Support Engineer,2 (II),40+,20-40,Undergraduate Degree,55000,,,Yes,2,It's Complicated,No,,Male,,
9/11/2019 1:05:24,Full-time,A digital agency,"100-1,000",United States (US),,Internet Services,Private,2-5,0-2,It Analyst,System Admin,2 (II),40+,40-50,Undergraduate Degree,50000,0,0,Yes,3,No,Yes,,Male,,
9/11/2019 1:05:47,Full-time,Juul Labs,"1,000-10,000",United States (US),San Francisco,General Engineering,Private,2-5,2-5,API Integrations Engineer ,Dev-Ops,,20-40,50-70,Undergraduate Degree,90000,20000,87000,Yes,2,It's Complicated,Don't know,,Male,,
9/11/2019 1:05:49,Full-time,,"100-1,000",Canada (CA),Toronto,Internet Services,Public,10-20,0-2,IT Manager,Management,,40+,40-50,High School,95000,9500,,Yes,3,It's Complicated,No,,Male,,
9/11/2019 1:06:30,Contractor,,1-20,United States (US),San Antonio,IT,Private,0-2,0-2,Jr System Admin,System Admin,,20-40,20-40,Undergraduate Degree,40000,0,0,No,0,No,Yes,,Male,,
